index	#1 Label	#2 String	#2 String
1	0	Tiền vệ Michael Essien của AC Milan đã được chẩn đoán mắc bệnh Ebola. Sớm khỏe lại Michael. [Thời báo hàng ngày] http://t.co/swnPfExdFx|||||TF? "@TransferRelated: Tiền vệ Michael Essien của AC Milan đã được chẩn đoán mắc bệnh Ebola. Hãy sớm bình phục nhé Michael. Http://t.co/ULSrpiKY84"|||||@TransferRelated @FUTMcảm ơn trò đùa hay .....|||||@TransferRelated bạn đang nói đùa|||||@TransferRelated @TobiShyBoy FUCKKKKKKKKKK|||||@TransferRelated @FUTCrespo_|||||@TDatG @TransferRelated không tin điều đó tbh|||||@FUTCrespo_ @TransferRel liên quan đến proba nhảm nhí, nhưng hài hước asf|||||@TransferRelated hoàn toàn giả mạo, được xác nhận bởi cá nhân Milan|||||RT @TransferRelated: Tiền vệ Michael Essien của AC Milan đã được chẩn đoán mắc bệnh Ebola. Sớm khỏe lại Michael. [Thời báo hàng ngày] & lt; Vớ vẩn.|||||@TransferRelated @PaOCallaghan|||||@darraghcp @TransferRelated đó là thứ tôi đã thấy .. Gọi là nhảm nhí trên Daily Times hahaha|||||@PaOCallaghan @TransferRelated loling 😂|||||Không, anh ấy không phải bạn chết tiệt cái lồn ngu ngốc @TransferRelated|||||@oJoeZx @TransferRelated LMFAO NẾU ĐIỀU NÀY THỰC SỰ ĐÚNG|||||@grindingAlbo @TransferRelated nó không phải|||||@TransferRelated báo cáo bạn ngốc là spam. Bạn đang làm quá mức sự chú ý này để tìm kiếm thứ gì đó.|||||Đây là liên kết đến bài viết Michael Essien Ebola: http://t.co/Y4ZVcV9WRq|||||“@TransferRelated: Đây là liên kết đến bài báo về bệnh Ebola của Michael Essien: http://t.co/pOnQOLoq57” --- 😳😳|||||@TransferRelated không một từ nào là đúng. Trích dẫn là hư cấu. Thực hiện nghiên cứu của bạn vì lợi ích đáng tiếc, trước khi lặp lại rác rưởi này|||||@robertrea @TransferRelated Nó thậm chí còn không đúng sự thật .. những người này được cho là đáng tin cậy .. hãy xem cái này: http://t.co/C1nEaWiwyX|||||@MiniiNinja @TransferRelated Thật khó tin phải không? Tất cả những gì họ phải làm là kiểm tra nguồn cấp dữ liệu twitter của Essien|||||“@TransferRelated: Tiền vệ Michael Essien của AC Milan đã được chẩn đoán mắc bệnh Ebola. http://t.co/K2yF8X0rSS ”@ LuisCFV11 @efrasanchez|||||@aljosaba @efrasanchez irga chamo, pero seis que la agarró en África o en Europa?|||||@TransferRelated Michael Essien Báo cáo Ebola là giả mạo, yêu cầu AC Milan!
2	0	Các báo cáo chưa được xác nhận cho rằng Michael Essien đã nhiễm Ebola. http://t.co/VASQrZdLhH|||||@FootballcomEN nếu nó chưa được xác nhận, tại sao bạn lại tweet nó?|||||Dừng lại! Hy vọng bạn sẽ bị nhiễm Ebola, bạn thốt lên trên twat “@FootballcomEN: Các báo cáo chưa được xác nhận cho rằng Essien đã nhiễm Ebola. http://t.co/8ZFTGNz86a ”|||||@LobittaT @FootballcomEN https://t.co/mhS5jDdPFb anh ấy buồn quá|||||Yeah, thật buồn khi gia đình bạn nhận được nó. Thằng ngốc. “@AyyBant: @LobittaT @FootballcomEN https://t.co/hepUeNtotN anh ấy buồn quá”|||||@LobittaT @FootballcomEN gia đình tôi không phải là người Phi. Từ chối.|||||@AyyBant @FootballcomEN Chết tiệt. Bạn đang tìm kiếm sự chú ý.|||||@FootballcomEN MEU DEUS OLHA ISSO @MikellySuarez|||||@ LuigiLouco999 @FootballcomEN O QUE TEM O MEU HOMEM ??|||||@MikellySuarez @FootballcomEN ele tá com ebola|||||@ LuigiLouco999 @FootballcomEN DEUS E MAIS E SEROO ISSO?|||||“@FootballcomEN: Các báo cáo chưa được xác nhận cho rằng Michael Essien đã mắc bệnh Ebola. http://t.co/hXEgDnArgg ”😕|||||“@FootballcomEN: Các báo cáo chưa được xác nhận cho rằng Michael Essien đã mắc bệnh Ebola. http://t.co/afwQo7evNc ”😥|||||“@FootballcomEN: Các báo cáo chưa được xác nhận cho rằng Michael Essien đã mắc bệnh Ebola. http://t.co/60KVmzU3w2 ”chưa được xác nhận .....|||||@FootballcomEN rah|||||“@FootballcomEN: Các báo cáo chưa được xác nhận cho rằng Michael Essien đã mắc bệnh Ebola. http://t.co/LAVYq2As2vosystemSTRESS!|||||😯 “@FootballcomEN: Các báo cáo chưa được xác nhận cho rằng Michael Essien đã mắc bệnh Ebola. http://t.co/PPifXdQmGo ”|||||Gì? "@FootballcomEN: Các báo cáo chưa được xác nhận cho rằng Michael Essien đã mắc bệnh Ebola. Http://t.co/GsEizhwaV7"|||||“@FootballcomEN: Các báo cáo chưa được xác nhận cho rằng Michael Essien đã mắc bệnh Ebola. http://t.co/jLtsMM9csZ ”@ LewisLowe1|||||@ JoeDavey7 @FootballcomEN fs Joe 😂😂😂|||||@FootballcomEN làm thế nào mà ai đó lại bắt đầu một tin đồn kỳ quái như vậy về Essien? Con người thật vô tâm|||||Umdlali webhola vele RT @FootballcomEN: Các báo cáo chưa được xác nhận cho rằng Michael Essien đã mắc bệnh Ebola. http://t.co/gqRDmeghVf ”|||||Ok “@FootballcomEN: Các báo cáo chưa được xác nhận cho rằng Michael Essien đã nhiễm Ebola. http://t.co/4njTb3xTKm ”|||||@FootballcomEN Điều này không vui chút nào, mọi người đang chết vì điều này. Bạn nên xấu hổ về chính mình.|||||@ohlozzie @FootballcomEN Ai đã đề cập đến nó là buồn cười? 'UNCONFIRMED report' .... tạm dịch: 'nó có thể không đúng, nhưng ...'
3	0	Essien và các luật sư của anh ấy đang cân nhắc để đệ đơn kiện phương tiện truyền thông Nigeria đã đưa tin về câu chuyện Ebola giả.|||||Đi nào! @milanello @ martinsfm1|||||@Milanello họ là|||||“@Milanello: Essien và các luật sư của anh ấy đang cân nhắc đệ đơn kiện phương tiện truyền thông Nigeria đã đưa tin về câu chuyện Ebola giả mạo.”|||||Vấn đề này không phải là một trò đùa mà là một cái gì đó nghiêm trọng. Làm thế nào mọi người chơi với điều đó? @milanello|||||@Milanello Họ nên|||||Petty “@Milanello: Essien và các luật sư của anh ấy đang cân nhắc đệ đơn kiện các phương tiện truyền thông Nigeria đã đưa tin về câu chuyện Ebola giả mạo”.
4	0	Milan đã tuyên bố rằng các báo cáo về việc Essien mắc Ebola là hoàn toàn sai sự thật. http://t.co/Sb9v9ulfTX @MichaelEssien|||||@milanello @michaelessien @kwaku_jerron haha. Ebola đang ở Mỹ và các quốc gia khác, không phải Ghana|||||@Milanello @ACForzaMilano @MichaelEssien ミ ラ ン 公式 が 、 エ ッ シ ェ ン の エ ボ ラ 感染 を 否定。|||||@Mr_Chelsea @Napheu “@Milanello: Milan đã tuyên bố rằng các báo cáo về việc Essien mắc Ebola là hoàn toàn sai sự thật. http://t.co/EorJSMsXHV|||||@Milanello @MichaelEssien Lol ... Essien avin Ebola? Lời nói dối lớn
5	0	Tin tốt: Tin đồn rằng Michael Essien đã nhiễm virus Ebola là sai sự thật. http://t.co/5d7hCL46mR http://t.co/VtGuLnjWBD|||||@br_uk một số cá nhân bệnh hoạn đã bắt đầu điều này|||||@br_uk @BundesligaRus вот и подтверждение|||||@br_uk @nyannthierry hoàn hảo, đó là điều mà tất cả chúng ta đang cầu nguyện|||||@br_uk Nice, một số người đã đăng một bức ảnh của Makelele khi được yêu cầu sửa lại, họ đã trở nên vô cùng tức giận.|||||@br_uk @S_isley|||||@br_uk đại chúng, anh ấy chết rồi..anh ấy không còn quan trọng với chúng tôi nữa|||||“@Br_uk: Tin tốt: Tin đồn rằng Michael Essien đã nhiễm virus Ebola là sai sự thật. http://t.co/DC02NM7BLO http://t.co/bkTG2diexA ”|||||@darkosammy @br_uk Những nạn nhân thực sự của Ebola xứng đáng được tốt hơn và suy nghĩ của chúng tôi & amp; những lời cầu nguyện là với họ và gia đình của họ. #sue|||||@br_uk Veri gud|||||@br_uk Tin xấu: Tôi sẽ hủy theo dõi bạn để báo cáo những điều tào lao như vậy. Ngoài (bên dưới) The Mirror thậm chí.|||||@br_uk @ruoyatdevirtue Ai đã tạo ra những điều tồi tệ như vậy. Đó có phải là một cách để trêu chọc những nạn nhân đáng thương? Nỗi tủi nhục !!!|||||@br_uk https://t.co/nRjqOF4AgX
6	0	Milan đưa ra tuyên bố chính thức trên trang web của họ nói rằng các báo cáo về việc Michael Essien mắc Ebola là sai sự thật. http://t.co/qYDG0RcOZh|||||Tốt hơn "@FutbolSergi: Milan đưa ra tuyên bố chính thức trên trang web của họ nói rằng các báo cáo về việc Michael Essien mắc Ebola là sai sự thật.|||||@FutbolSergi Ai là người bắt đầu những tin đồn đại loại đó? Bệnh hoạn.|||||@LeahVdc xin chào|||||@LeahVdc Một nhà báo Nga phân biệt chủng tộc đã tweet rằng người phát ngôn của Milan xác nhận rằng Essien mắc bệnh Ebola. Thật đáng hổ thẹn.|||||@FutbolSergi Tôi chân thành hy vọng họ kiện anh ta. No thật kinh tởm.|||||@LeahVdc @FutbolSergi Điều đó thật kinh khủng. Bệnh hoạn để nói.|||||Kinh tởm & gt; “@FutbolSergi: @LeahVdc Một nhà báo Nga phân biệt chủng tộc đã tweet rằng người phát ngôn của Milan xác nhận rằng Essien mắc bệnh Ebola. Thật đáng hổ thẹn ”.|||||@BlancoStats @FutbolSergi @LeahVdc CÁI GÌ. NS. THẬT SỰ.|||||@FutbolSergi @Goaldobin
7	0	Tin tức mới nhất: Tuyển thủ Ghana và ngôi sao AC Milan, Michael Essien đã mắc bệnh Ebola, câu lạc bộ của anh ấy đã xác nhận.|||||“@YuryAlkaev: Tin nóng: Ngôi sao tuyển thủ Ghana và AC Milan, Michael Essien đã mắc bệnh Ebola, câu lạc bộ của anh ấy đã xác nhận" Chắc chắn phải nói dối|||||“@YuryAlkaev: Tin nóng: Cầu thủ quốc tế Ghana và ngôi sao của AC Milan, Michael Essien đã mắc bệnh Ebola, câu lạc bộ của anh ấy đã xác nhận.” WHAAAAT|||||“@YuryAlkaev: Tin mới nhất: Tuyển thủ Ghana và ngôi sao của AC Milan, Michael Essien đã mắc bệnh Ebola, câu lạc bộ của anh ấy đã xác nhận.” Huhhhh.|||||“@YuryAlkaev: Tin nóng: Cầu thủ quốc tế Ghana và ngôi sao của AC Milan, Michael Essien đã mắc bệnh Ebola, câu lạc bộ của anh ấy đã xác nhận.” 😦😦|||||“@YuryAlkaev: Tin nóng: Cầu thủ quốc tế Ghana và ngôi sao của AC Milan, Michael Essien đã mắc bệnh Ebola, câu lạc bộ của anh ấy đã xác nhận.” Chúa ơi 😳|||||Người phát ngôn của AC Milan, Riccardo Coli nói: "Mọi người liên quan đến câu lạc bộ đều bị sốc nặng nhưng chúng tôi rất lạc quan cho Essien ..."|||||"Anh ấy là một người rất mạnh mẽ và Ebola đã bị bắt ở giai đoạn đầu. Anh ấy đang ở trong tay các chuyên gia nên anh ấy sẽ ổn". #Essien|||||RT “@YuryAlkaev:" Anh ấy rất khỏe .. Ebola đã bị bắt trong giai đoạn đầu. Anh ấy đang ở trong tay các chuyên gia nên anh ấy sẽ ổn ". #Essien ”|||||@YuryAlkaev Bạn là một Prick.|||||@YuryAlkaev Mẹ kiếp. Xóa cái này ngay bây giờ.|||||tôi hy vọng mẹ bạn qua đời @YuryAlkaev|||||@YuryAlkaev tại sao bạn lại đưa ra tin đồn như vậy !? Kinh khủng.|||||@YuryAlkaev @KaifSanchezAFC LOL Người hâm mộ AC Milan muốn điều này xảy ra ngay từ đầu|||||@YuryAlkaev  Xấu hổ về bạn|||||Cái gì????? “@YuryAlkaev: Tin nóng: Cầu thủ quốc tế Ghana và ngôi sao của AC Milan, Michael Essien đã mắc bệnh Ebola, câu lạc bộ của anh ấy đã xác nhận.”|||||Chà “@officialAnietie: sao ????? “@YuryAlkaev: Tin mới nhất: Ngôi sao tuyển thủ Ghana và AC Milan, Michael Essien đã mắc bệnh Ebola, của anh ấy|||||“@YuryAlkaev: Tin nóng: Cầu thủ quốc tế Ghana và ngôi sao của AC Milan, Michael Essien đã mắc bệnh Ebola, câu lạc bộ của anh ấy đã xác nhận.” Giữ|||||WTF "@YuryAlkaev: Tin nóng: Tuyển thủ Ghana và ngôi sao AC Milan, Michael Essien đã mắc bệnh Ebola, câu lạc bộ của anh ấy đã xác nhận."|||||“@YuryAlkaev: Tin mới nhất: Ngôi sao quốc tế người Ghana và AC Milan, Michael Essien đã mắc bệnh Ebola, câu lạc bộ của anh ấy đã xác nhận” Bạn nói dối chết tiệt|||||@YuryAlkaev cung cấp nguồn cho bạn hoặc im lặng với những điều nhảm nhí!|||||Huh? “@YuryAlkaev: Tin nóng: Cầu thủ quốc tế Ghana và ngôi sao của AC Milan, Michael Essien đã mắc bệnh Ebola, câu lạc bộ của anh ấy đã xác nhận.”|||||“@YuryAlkaev: Tin nóng: Cầu thủ quốc tế Ghana và ngôi sao của AC Milan, Michael Essien đã mắc bệnh Ebola, câu lạc bộ của anh ấy đã xác nhận.” Bollocks.|||||“@YuryAlkaev: Phá vỡ: Ghana quốc tế & amp; Ngôi sao của AC Milan, Michael Essien đã nhiễm Ebola, câu lạc bộ của anh ấy đã xác nhận. ” Qua @jeremyweate
8	0	Không có sự thật trong tin đồn trên internet rằng tôi đã nhiễm Ebola.i m & amp; Tôi đang làm rất tốt & amp; sẽ tập luyện như thường lệ vào ngày mai. # falsenews|||||@MichaelEssien thật tuyệt khi nghe!|||||@MichaelEssien Tôi rất vui vì bạn đang làm tốt !!!! Tôi không thể tin rằng có ai đó lại tạo ra một tin đồn như vậy .... Chúa phù hộ cho bạn Michael! :)|||||@MichaelEssien yêu bạn mikey|||||@MichaelEssien @ JamesChelsea16 Đã nói với bạn|||||@SUFCTommy @MichaelEssien ffs|||||@ JamesChelsea16 @MichaelEssien;)|||||@MichaelEssien chúng tôi yêu bạn Michael|||||@MichaelEssien MENTEUUUUUUUUR|||||@ Tek0zz @MichaelEssien chien|||||@MichaelEssien rất vui khi được nghe. Tin đồn khó chịu|||||@MichaelEssien Thật tuyệt khi nghe Essien!|||||@MichaelEssien Tuyệt vời, Bỏ qua cái lồn phân biệt chủng tộc đi.|||||@MichaelEssien kiện nhà báo Michael.|||||@MichaelEssien Rất vui vì bạn luôn mạnh khỏe! #Forza milan|||||@MichaelEssien Kiện anh ấy!|||||@MichaelEssien bạn có kik?|||||@MichaelEssien, thật tiếc khi muốn đầu tư vào bạn😔|||||@MichaelEssien @Mourinholic rất vui khi nghe bò rừng :) chúc mọi điều tốt lành và giữ gìn sức khỏe! 😃
9	0	Tôi rất khỏe mạnh|||||@MichaelEssien Miss u|||||@Pippatweets_ @MichaelEssien tại sao bạn không còn ở Arsenalfantv nữa?|||||@Hamu_AFC Mình sẽ quay lại sớm thôi ☺️ xx|||||@Pippatweets_ hay quá, không thể đợi được! 👍xx|||||@MichaelEssien đừng lãng phí thời gian của bạn để trả lời những tin đồn thất thiệt, anh bạn|||||@ emm_ed6040 @MichaelEssien Tốt hơn nên làm rõ hơn là để nó được lan truyền như sự thật.|||||@MickMcCarsey @MichaelEssien vâng nhưng lời nói dối không bao giờ có thể trở thành sự thật. Sự thật không bao giờ thay đổi|||||“@MichaelEssien: Tôi rất khỏe mạnh|||||@MichaelEssien bạn nói với họ Ess !!!!!|||||SMH --- & gt; “@MichaelEssien: Tôi rất khỏe mạnh và rất khỏe mạnh, Không có tin đồn trên mạng rằng tôi đã nhiễm Ebola ...”|||||@MichaelEssien @ boatzv3 bạn có gì trên thuyền|||||@MichaelEssien @Barbig_Wonroe|||||@Skwareh @MichaelEssien loool wa bien|||||@MichaelEssien tốt hơn nên đi kiểm tra anh bạn trẻ. Không có khói mà không có lửa. Cười lớn|||||SMH 👉 @MichaelEssien: Tôi rất khỏe mạnh|||||“@MichaelEssien: Tôi rất khỏe mạnh|||||@MichaelEssien @SportsPRCompany Kiểm tra cuộc phỏng vấn mới nhất của tôi với Jamie Carragher http://t.co/kwsLk8Iukc tất cả các RT đều đánh giá cao!|||||@MichaelEssien Tôi vừa hoàn tất quy trình báo cáo một câu trả lời phân biệt chủng tộc cho tweet của yo. Một tên ngốc nào đó nói rằng bạn xứng đáng với điều đó vì bạn là người da đen.|||||Tất cả hãy hạ nó xuống một bậc. @MichaelEssien: Tôi rất phù hợp & amp; rất khỏe mạnh, Không có tin đồn trên mạng rằng tôi đã nhiễm Ebola.
10	0	Micheal Essien phủ nhận tin đồn Ebola như https://t.co/H2E1TAzeha|||||@Mourinholic Hừm.|||||@Mourinholic VINE HAY NHẤT BAO GIỜ.|||||@Mourinholic yêu thích mục tiêu không thể lay chuyển được|||||@Mourinholic nhớ người hâm mộ Chelsea à nhiều. Chăm sóc anh bạn|||||@ CdtChoco1er cảm ơn anh chị.|||||@Mourinholic bạn rất hoan nghênh máu. Chelsea một ngày, Chelsea mãi mãi. Đó là cách của nó|||||@Mourinholic Tôi thích các ấn phẩm của bạn hơn. Tiếp tục đi anh bạn|||||@Mourinholic Mặc dù chống lại chúng tôi, đó là một mục tiêu tuyệt vời đẫm máu.|||||“@Mourinholic: Micheal Essien phủ nhận những tin đồn Ebola như https://t.co/n2bhpr4n6D” @nSkillpa|||||“@Mourinholic: Micheal Essien phủ nhận những tin đồn về Ebola như https://t.co/8Yo8iLgISS”|||||“@Mourinholic: Micheal Essien phủ nhận tin đồn Ebola https://t.co/oMJBpnIyqu”  Thật tuyệt vời?!! Anh ấy thậm chí không ở trên cây nho khi nó bắt đầu! 😎|||||“@Mourinholic: Micheal Essien phủ nhận tin đồn Ebola như https://t.co/PQ8DQqWZqJ” @MichaelEssien|||||@Mourinholic Darn! Một số điều thể dục ngọt ngào. Hãy đến xem nó! http://t.co/QSLU7Elbkl Kinda tốt đẹp!|||||@Mourinholic 😕😕 http://t.co/sFoV1v8uDo
